,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
116,mlp,pearson,10,5-fold,0.6873015873,0.0367486886,0.6872807018,0.0438375081,0.7078947368,0.11746691640000001,0.6666666667000001,0.1740300501,5-fold,100
20,bag,pearson,50,10-fold,0.6872549020000001,0.07256978900000001,0.6812301587,0.0774240824,0.7588888889000001,0.13374935100000002,0.6035714286,0.1787300882,5-fold,100
117,mlp,pearson,100,m-carlo,0.6847222222,0.0750108288,0.6753125,0.0927130149,0.76,0.1313893371,0.590625,0.28205294740000003,5-fold,100
175,rf,pearson,10,m-carlo,0.6833333333,0.0579876978,0.6815625,0.0540496163,0.6975,0.1069616262,0.665625,0.06808892700000001,5-fold,100
235,svm,d,50,10-fold,0.6820261438,0.1224611159,0.6766071429,0.1209504183,0.73,0.17029386370000002,0.6232142857,0.16070326240000002,5-fold,100
236,svm,pearson,10,m-carlo,0.6819444444,0.0671250082,0.6790625,0.06377885700000001,0.705,0.1223670062,0.653125,0.09396904240000001,5-fold,100
176,rf,pearson,100,m-carlo,0.6819444444,0.0756577182,0.6771874999999999,0.0723567948,0.72,0.125026313,0.634375,0.09130585890000001,5-fold,100
118,mlp,auc,100,10-fold,0.6767973856,0.0772184412,0.6719444444,0.0830431455,0.7188888889,0.1011660412,0.625,0.1636634177,5-fold,100
119,mlp,pearson,10,10-fold,0.6767973856,0.1032441852,0.683015873,0.09940963300000001,0.6588888889,0.18820136310000002,0.7071428571,0.1910705014,5-fold,100
177,rf,pearson,50,10-fold,0.6764705882000001,0.0898676305,0.675515873,0.0971127502,0.7188888889,0.1461016051,0.6321428571000001,0.2255944528,5-fold,100
21,bag,pearson,50,5-fold,0.6761904762000001,0.042591771,0.6732675439,0.0392957429,0.7073684211,0.1285358633,0.6391666667,0.14079388010000002,5-fold,100
56,dtree,auc,50,5-fold,0.6761904762000001,0.013468700600000001,0.6674342105000001,0.012752339100000001,0.7373684211,0.0414588539,0.5975,0.0521749195,5-fold,100
178,rf,pearson,100,5-fold,0.676031746,0.0597940953,0.6675438596000001,0.058334003200000005,0.7584210526,0.1772207725,0.5766666667,0.2132462387,5-fold,100
179,rf,pearson,50,m-carlo,0.675,0.0570700014,0.6693749999999999,0.057278607,0.72,0.09375219300000001,0.61875,0.1031972434,5-fold,100
237,svm,pearson,50,m-carlo,0.6736111111,0.0590116507,0.668125,0.0600130194,0.7175,0.109153441,0.61875,0.1280868846,5-fold,100
22,bag,d,50,5-fold,0.6707936508,0.0524001889,0.6689473684,0.0562831949,0.6878947368,0.0703079889,0.65,0.1065966567,5-fold,100
57,dtree,pearson,50,5-fold,0.6703174603000001,0.0272604896,0.6649780702,0.0259874898,0.7057894737,0.1024526105,0.6241666667,0.1017383627,5-fold,100
180,rf,pearson,10,10-fold,0.6702614379,0.1023669591,0.6708730159,0.1046254824,0.6988888889,0.1685449715,0.6428571429000001,0.2132913437,5-fold,100
58,dtree,pearson,10,5-fold,0.6701587302,0.0497967651,0.6616885965,0.0458443232,0.7042105263,0.2251238502,0.6191666667,0.23287902200000002,5-fold,100
120,mlp,auc,50,m-carlo,0.6694444444000001,0.08005237080000001,0.6637500000000001,0.0971129294,0.715,0.1647166626,0.6125,0.3045704482,5-fold,100
181,rf,pearson,100,10-fold,0.6656862745000001,0.106654282,0.6587301587000001,0.110747705,0.7388888889,0.1492780983,0.5785714286,0.2128257141,5-fold,100
23,bag,auc,100,5-fold,0.6650793651,0.0688237568,0.6512938596,0.0708617753,0.7784210526,0.13411245130000002,0.5241666667,0.1929845993,5-fold,100
